# Contrôles — Apparence / Couleur
# Format: option | description | exemple/notes

colorMode | Logique globale de couleur (uniform, gradient, noise, by_lat, by_lon, time_shift) | gouverne toute la palette
gradientStops | Points de couleur du dégradé | "#00f00,#f0f01"
hueShiftSpeed | Vitesse de rotation des teintes HSL | effet arc-en-ciel
opacityDepth | Opacité décroissante avec profondeur | brouillard doux
blendMode | Mode de fusion (normal, add, screen) | halos et lueurs
shape | Forme des particules (circle, square, triangle, hex) | style visuel
sizeJitter | Jitter de taille aléatoire | texture organique

# Apparence avancée
colorDrift | Déplacement lent des teintes | couleurs mouvantes
depthFade | Transparence avec distance | effet de brouillard
edgeGlow | Halo sur bords selon normale/profondeur | aura circulaire
specularFake | Lueur simulant reflet | aspect métallique
twinkle | Scintillement d’opacité local | étoiles
temperatureTint | Teinte en fonction de l’“énergie” | chaud/froid
alphaNoise | Bruit appliqué à l’alpha | aspect gazeux
